"word","F","M"
"cancer",68,79
"candy",60,58
"cannot",198,215
"cant",92,173
"capable",104,160
"capacity",64,74
"car",550,759
"card",101,169
"cards",84,106
"care",1271,1541
"career",760,1206
"carefree",55,80
"cares",91,104
"caring",923,908
"carolina",56,74
"carry",142,202
"cars",168,448
"cartoons",44,76
"case",210,302
"casual",246,313
"cat",319,301
"catch",247,327
"catching",110,126
"category",39,66
"catholic",55,80
"cats",368,330
"caught",95,146
"cause",197,332
"causes",56,62
"center",136,181
"centered",46,55
"central",133,197
"century",52,92
"certain",210,342
"certainly",169,244
"certified",39,65
"challenge",434,458
"challenged",96,114
"challenges",195,234
"challenging",207,201
"chance",280,619
"chances",75,117
"change",731,959
"changed",127,185
"changes",99,142
"changing",148,195
"chaos",44,66
"chapter",68,77
"character",169,297
"characteristics",49,67
"characters",58,88
"charismatic",42,79
"charm",75,89
"charming",182,264
"chase",41,64
"chat",136,319
"chatting",74,113
"cheap",99,106
"check",312,523
"checking",252,317
"cheerful",82,67
"cheers",35,77
"cheese",198,178
"cheesy",81,105
"chef",97,187
"chemistry",405,432
"cherish",128,105
"chess",24,81
"chicago",276,444
"chick",149,42
"chicken",67,80
"child",334,336
"childhood",119,184
"children",634,502
"chile",41,60
"chill",347,740
"chilling",62,119
"china",122,228
"chinese",123,235
"chivalry",83,114
"chocolate",302,197
"choice",167,242
"choices",104,120
"choose",236,246
"chose",53,62
"chosen",51,66
"christian",99,88
"christmas",76,64
"church",110,99
"cinema",21,89
"circle",180,238
"circles",49,70
"circumstances",49,64
"cities",277,370
"citizen",26,79
"city",3237,4275
"claim",60,83
"class",300,379
"class=",760,1377
"class=""ilink""",5991,11709
"class=""plink""",193,219
"classes",222,238
"classic",127,193
"classical",135,219
"classy",87,96
"clean",231,322
"clear",173,227
"clearly",68,100
"clever",148,216
"cliche",73,111
"click",86,158
"climb",126,246
"climbing",399,725
"close",1024,1191
"closed",41,60
"closer",123,130
"closest",103,118
"closet",52,80
"clothes",163,165
"clothing",77,90
"clouds",67,57
"club",234,387
"clubbing",45,88
"clubs",184,313
"clumsy",72,31
"coach",43,106
"coast",1252,1477
"coaster",65,74
"cocktail",92,76
"cocktails",81,93
"code",41,94
"coffee",941,1112
"cold",278,351
"collect",71,99
"collecting",56,73
"collection",90,140
"college",1364,2219
"color",250,199
"colorado",108,164
"colorful",51,62
"colors",97,78
"com",381,1048
"combination",126,142
"come",1317,1974
"comedies",46,61
"comedy",247,457
"comes",811,1193
"comfort",190,228
"comfortable",880,959
"comic",84,146
"comics",49,124
"coming",252,404
"commitment",127,138
"committed",265,253
"common",229,328
"communicate",133,140
"communication",370,404
"communicative",78,61
"communicator",86,87
"communities",69,54
"community",555,528
"commute",49,93
"companies",31,108
"companion",183,181
"companionship",115,84
"company",791,1521
"compassion",225,200
"compassionate",581,472
"compatible",71,101
"competition",47,62
"competitive",150,267
"complete",252,325
"completed",73,81
"completely",323,479
"complex",171,264
"complicated",128,183
"compliment",79,76
"computer",222,777
"computers",49,270
"concept",59,95
"concerned",61,82
"concert",123,154
"concerts",496,553
"confidence",137,187
"confident",574,699
"confused",65,103
"connect",303,326
"connected",110,131
"connecting",128,109
"connection",503,509
"connections",192,213
"conscious",139,171
"consciousness",64,82
"conservative",80,114
"consider",851,1198
"considerate",174,249
"considered",122,158
"considering",76,66
"constant",136,177
"constantly",382,528
"construction",37,155
"consultant",42,97
"contact",179,274
"contemplative",43,60
"content",212,233
"context",44,74
"continents",75,109
"continually",52,50
"continue",243,268
"contradiction",61,51
"contradictions",67,84
"control",120,203
"conversation",1169,1610
"conversationalist",47,70
"conversations",547,732
"convince",44,64
"convinced",79,102
"cook",1171,1425
"cooked",64,58
"cookies",72,72
"cooking",1424,1536
"cool",757,1576
"coolest",39,66
"core",129,140
"corner",79,127
