"word","F","M"
"topics",96,165
"total",267,267
"totally",460,526
"touch",259,351
"tough",188,275
"tour",77,114
"tourist",59,57
"toward",140,231
"towards",288,493
"town",637,907
"towns",47,56
"track",82,141
"trade",94,156
"trades",22,81
"traditional",138,136
"traffic",37,78
"trail",134,174
"trails",115,128
"train",105,175
"trained",51,109
"training",188,288
"trait",38,71
"traits",122,166
"transition",57,54
"transplant",274,379
"transportation",53,79
"travel",3141,3276
"traveled",592,764
"traveler",150,202
"traveling",1835,1983
"travelled",96,137
"travelling",155,233
"travels",71,103
"treasure",75,86
"treat",240,389
"treated",103,133
"treating",40,66
"tree",124,129
"trees",200,199
"tried",246,352
"tries",39,104
"trip",648,704
"trips",720,805
"trivia",85,106
"tropical",73,72
"trouble",166,257
"truck",68,91
"trucks",45,58
"true",755,986
"truly",534,550
"trust",322,459
"trusting",64,66
"trustworthy",135,175
"truth",278,365
"try",3546,5211
"trying",2476,3522
"tumblr",59,72
"tune",44,64
"turkey",66,59
"turn",372,532
"turned",206,322
"turning",68,119
"turns",143,202
"tv",611,910
"twenty",24,90
"twice",162,267
"twin",57,81
"twitter",31,71
"two",1660,2446
"type",837,1391
"types",336,505
"typical",175,329
"typically",103,155
"uc",130,304
"uk",54,117
"ultimate",97,150
"ultimately",142,199
"um",48,78
"uncomfortable",71,90
"unconventional",74,94
"under",368,465
"undergrad",107,170
"understand",422,696
"understanding",254,401
"understands",56,77
"unexpected",87,68
"unfortunately",113,169
"unique",282,483
"united",57,99
"universe",128,241
"university",200,406
"unknown",68,90
"unless",283,483
"until",597,977
"unusual",86,119
"up",7978,11407
"upbeat",113,114
"upbringing",48,67
"update",115,211
"update:",85,134
"upon",149,257
"ups",56,80
"upset",52,65
"upstate",36,76
"urban",272,266
"us",1041,1642
"usa",47,86
"use",614,1037
"used",709,1128
"useful",41,92
"useless",34,95
"user",47,105
"username",78,84
"using",207,337
"usual",77,119
"usually",1156,1796
"vacation",163,177
"vacations",82,87
"valley",142,325
"valuable",43,69
"value",780,833
"values",423,442
"varied",78,109
"variety",293,415
"various",226,415
"vast",50,76
"vegan",130,167
"vegas",101,159
"vegetables",50,59
"vegetarian",179,186
"venture",47,86
"venues",95,83
"version",86,120
"very",6447,8464
"via",104,155
"vibe",63,63
"vibrant",70,55
"vice",43,77
"video",359,961
"videos",40,97
"vietnam",51,58
"view",263,443
"views",151,181
"vintage",129,107
"virginia",48,89
"vision",59,89
"visit",431,488
"visited",98,162
"visiting",201,260
"visual",101,156
"voice",94,191
"volleyball",116,141
"volunteer",227,199
"volunteering",135,102
"vs",62,67
"vulnerable",69,48
"wait",327,457
"waiting",129,209
"wake",148,204
"waking",64,85
"walk",626,734
"walked",38,86
"walking",721,690
"walks",526,573
"wall",102,186
"wander",52,74
"wandering",123,155
"wanderlust",54,48
"wanna",232,371
"want",4869,6266
"wanted",303,525
"wanting",137,175
"wants",570,624
"war",42,78
"warm",866,675
"warmth",71,61
"warriors",39,102
"wars",36,69
"was",4692,7982
"washington",115,152
"wasn't",159,251
"waste",167,219
"watch",970,1397
"watched",46,93
"watching",1614,1950
"water",759,734
"wave",53,68
"waves",84,102
"way",3126,4510
"ways",585,713
"we",3726,5775
"we'd",59,95
"we'll",180,357
"we're",294,575
"we've",77,132
"weakness",74,79
"wear",480,495
"wearing",180,193
"weather",391,508
"web",72,256
"website",122,217
"weed",49,78
"week",609,1055
"weekend",482,618
"weekends",393,635
"weeks",176,290
"weight",63,133
"weird",392,577
"welcome",214,276
"well",3514,5619
"well-rounded",45,58
"went",868,1516
"were",680,1145
"west",438,640
"western",55,104
"wet",40,64
"what",6353,9274
"what's",362,539
"whatever",565,925
"whats",46,101
"when",6020,8471
"whenever",289,438
"where",2363,3317
"wherever",119,156
"whether",642,878
"which",2176,3246
"while",2057,3094
"whim",50,58
"whiskey",128,173
"white",305,470
"who",12043,13114
"who's",373,562
"whole",634,882
"whom",366,430
"whose",117,166
"why",864,1506
"wicked",92,97
"wide",199,298
"wife",39,157
"wikipedia",33,110
"wild",270,342
"wilderness",61,121
"will",4532,6057
"willing",612,770
"win",112,178
"wind",92,141
"window",70,99
"windows",57,48
"wine",1550,1384
"winning",43,59
"winter",194,319
"winters",37,66
"wisconsin",44,72
"wisdom",100,117
"wise",123,179
"wish",463,557
"wit",300,373
"with",24291,31170
"within",283,413
"without",1063,1508
"witty",629,762
"woman",1343,1759
"women",497,1332
"won",72,101
"won't",569,797
"wonder",191,292
"wonderful",686,651
"wondering",87,145
"wont",61,115
"wood",42,90
"woods",163,191
"word",404,578
"words",733,1121
"work",4876,7699
"workaholic",74,80
"worked",449,772
"worker",98,142
"working",2114,3723
"workout",104,206
"works",296,467
"world",3403,4661
"world's",34,68
"worldly",45,78
"worlds",63,99
"worry",149,242
"worse",51,129
"worst",99,161
"worth",264,462
"would",5315,6765
"wouldn't",333,518
"wow",89,138
"write",967,1539
"writer",259,347
"writing",958,1328
"written",126,232
"wrong",344,577
"wrote",135,194
"www",230,688
"ya",100,202
"yard",52,72
"yeah",250,491
"year",2217,3035
"years",4537,6738
"yellow",58,52
"yes",697,979
"yet",1269,1638
"yo",37,89
"yoga",1111,656
"york",488,700
"yorker",113,96
"yosemite",85,106
"you",16380,25326
"you:",85,80
"you?",146,191
"you'd",181,335
"you'll",516,769
"you're",1269,2076
"you've",252,421
"young",519,749
"younger",183,307
"youngest",55,57
"your",3220,4716
"yours",144,160
"yourself",560,824
"youth",108,133
"youthful",67,67
"youtube",118,341
"yrs",76,111
"yummy",76,38
"zealand",93,93
"zero",39,69
"zombie",31,75
"zone",108,147
